City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Longyearbyen,SJ,2022-08-06 17:21:48,78.2186,15.6401,51.64,76,75,3.44
92,Ratnagiri,IN,2022-08-06 17:21:49,16.9833,73.3,78.87,90,100,12.46
93,Provideniya,RU,2022-08-06 17:18:10,64.3833,-173.3,48.25,84,59,4.65
94,Gorom-Gorom,BF,2022-08-06 17:21:50,14.4439,-0.2361,94.53,38,100,5.61
95,Cherskiy,RU,2022-08-06 17:21:50,68.75,161.3,47.98,69,61,6.69
96,Lakes Entrance,AU,2022-08-06 17:21:51,-37.8811,147.981,49.15,84,99,6.38
97,Fortuna,US,2022-08-06 17:21:51,40.5982,-124.1573,64.92,84,100,5.75
98,Kavieng,PG,2022-08-06 17:21:52,-2.5744,150.7967,80.2,78,36,5.93
99,Chakia,IN,2022-08-06 17:21:52,26.4167,85.05,87.51,68,72,12.1
100,Khairpur Nathan Shah,PK,2022-08-06 17:21:53,27.0936,67.7337,89.47,58,89,3.0
101,Zamboanguita,PH,2022-08-06 17:21:54,9.1025,123.1996,79.54,79,100,5.17
102,Langarud,IR,2022-08-06 17:21:55,37.197,50.1535,80.65,70,19,6.4
103,Buala,SB,2022-08-06 17:21:56,-8.145,159.5921,78.89,84,92,4.07
104,Mega,ET,2022-08-06 17:21:57,4.05,38.3,62.85,54,24,11.79
105,Pierre,US,2022-08-06 17:18:15,44.3683,-100.351,75.27,53,0,14.97
106,Mazeikiai,LT,2022-08-06 17:21:57,56.3167,22.3333,63.68,51,72,10.92
107,Stornoway,GB,2022-08-06 17:21:58,58.2093,-6.3865,57.16,94,100,16.11
108,Zhigansk,RU,2022-08-06 17:16:00,66.7697,123.3711,50.32,99,100,4.88
109,Blind River,CA,2022-08-06 17:21:59,46.1834,-82.9582,77.11,71,85,8.88
110,Carnarvon,AU,2022-08-06 17:22:00,-24.8667,113.6333,63.86,58,0,14.38
111,Ulaangom,MN,2022-08-06 17:22:00,49.9811,92.0667,58.89,44,1,1.03
112,Jamestown,US,2022-08-06 17:18:38,42.097,-79.2353,82.02,55,100,5.99
113,Kaitangata,NZ,2022-08-06 17:22:01,-46.2817,169.8464,45.43,89,92,10.76
114,Broome,US,2022-08-06 17:22:02,42.2506,-75.833,89.69,61,20,10.36
115,Alice Springs,AU,2022-08-06 17:21:28,-23.7,133.8833,38.75,56,0,4.61
116,Preobrazheniye,RU,2022-08-06 17:22:02,42.9019,133.9064,70.39,95,10,3.65
117,College,US,2022-08-06 17:22:03,64.8569,-147.8028,51.75,92,100,9.22
118,Nouadhibou,MR,2022-08-06 17:22:04,20.931,-17.0347,80.58,74,5,13.8
119,Lata,PT,2022-08-06 17:22:04,40.1629,-8.3327,83.48,50,0,9.4
120,Mar Del Plata,AR,2022-08-06 17:18:11,-38.0023,-57.5575,54.09,76,0,9.22
121,Talavera,PH,2022-08-06 17:22:05,15.6167,120.9333,75.36,91,100,3.74
122,Calvinia,ZA,2022-08-06 17:22:06,-31.4707,19.776,59.99,33,16,2.51
123,Cidreira,BR,2022-08-06 17:18:21,-30.1811,-50.2056,58.05,64,56,8.57
124,Altay,CN,2022-08-06 17:22:06,47.8667,88.1167,65.91,38,66,5.55
125,Deputatskiy,RU,2022-08-06 17:22:07,69.3,139.9,44.35,98,100,4.18
126,Codrington,AU,2022-08-06 17:22:08,-38.2667,141.9667,47.59,77,95,7.67
127,Georgetown,MY,2022-08-06 17:18:46,5.4112,100.3354,80.89,82,20,0.0
128,Vila Velha,BR,2022-08-06 17:22:09,-20.3297,-40.2925,80.55,66,20,18.41
129,Buchanan,LR,2022-08-06 17:22:09,5.8808,-10.0467,78.13,75,80,11.97
130,Kilindoni,TZ,2022-08-06 17:22:10,-7.9139,39.6668,75.24,72,41,13.0
131,Srednekolymsk,RU,2022-08-06 17:15:36,67.45,153.6833,52.54,92,100,4.27
132,Kirovskiy,RU,2022-08-06 17:22:10,45.0917,133.5136,68.29,89,8,3.91
133,Lavrentiya,RU,2022-08-06 17:22:11,65.5833,-171.0,43.2,86,94,4.76
134,Hasaki,JP,2022-08-06 17:22:12,35.7333,140.8333,73.8,82,80,5.97
135,Tiksi,RU,2022-08-06 17:22:12,71.6872,128.8694,38.53,91,100,16.28
136,Burnie,AU,2022-08-06 17:22:13,-41.0667,145.9167,43.95,84,60,8.7
137,Balkhash,KZ,2022-08-06 17:22:13,46.844,74.9804,77.25,32,4,18.59
138,Oranjestad,AW,2022-08-06 17:22:14,12.524,-70.027,87.75,70,20,24.16
139,Atasu,KZ,2022-08-06 17:23:14,48.6814,71.6433,67.84,48,44,9.1
140,Barrow,US,2022-08-06 17:23:15,71.2906,-156.7887,35.71,86,100,14.85
141,Ngaoundere,CM,2022-08-06 17:23:15,7.3167,13.5833,69.42,93,74,3.76
142,Beringovskiy,RU,2022-08-06 17:23:16,63.05,179.3167,50.43,91,100,8.39
143,Ancud,CL,2022-08-06 17:23:16,-41.8697,-73.8203,48.22,63,100,9.57
144,Chernyshevskiy,RU,2022-08-06 17:23:17,63.0128,112.4714,46.89,98,100,6.42
145,Nantucket,US,2022-08-06 17:23:17,41.2835,-70.0995,87.91,90,100,10.36
146,Lucea,JM,2022-08-06 17:23:18,18.451,-78.1736,85.86,73,99,13.71
147,Zhaotong,CN,2022-08-06 17:23:18,27.3167,103.7167,63.82,91,82,1.79
148,Jumla,NP,2022-08-06 17:23:19,29.2747,82.1838,62.69,96,100,2.42
149,Saint-Joseph,RE,2022-08-06 17:23:20,-21.3667,55.6167,66.58,72,56,4.54
150,Chikwawa,MW,2022-08-06 17:23:20,-16.0335,34.8009,73.62,34,0,5.77
151,Iqaluit,CA,2022-08-06 17:23:22,63.7506,-68.5145,58.73,51,75,18.41
