City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
183,Rio Grande,BR,64.15,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
185,Bayir,TR,52.32,overcast clouds,37.2687,28.2167,Hotel Babadag
187,Rosetta,EG,65.7,clear sky,31.4044,30.4164,Green Valley
189,Goure,NE,64.63,clear sky,13.9835,10.2704,
190,Pocone,BR,76.05,overcast clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
191,Tuatapere,NZ,62.26,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
192,Kawambwa,ZM,60.66,light rain,-9.7915,29.0791,Chembe Nsofu
195,Itaguai,BR,74.82,clear sky,-22.8522,-43.7753,It Grande Hotel Itaguai
200,Vila Franca Do Campo,PT,64.81,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
202,Maldonado,UY,54.79,clear sky,-34.6667,-54.9167,La Cimarrona
204,Qinzhou,CN,69.46,overcast clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
206,Lufkin,US,51.71,broken clouds,31.3382,-94.7291,Courtyard by Marriott Lufkin
207,Port Elizabeth,ZA,64.69,clear sky,-33.918,25.5701,39 On Nile Guest House
208,Puebloviejo,CO,82.04,scattered clouds,10.9938,-74.2844,The Journey Hostel
210,Port Macquarie,AU,77.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
211,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
213,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Central
217,Ribeira Grande,PT,61.77,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
219,Sola,VU,83.34,scattered clouds,-13.8833,167.55,Leumerus Bungalows
221,Port Blair,IN,81.1,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
222,Fukue,JP,64.76,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
224,Boa Vista,BR,78.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
225,Anamur,TR,62.49,clear sky,36.0751,32.8369,Luna Piena Beach Hotel
228,Fethiye,TR,53.47,few clouds,36.6217,29.1164,Club & Hotel Letoonia
230,Havelock,US,58.98,broken clouds,34.8791,-76.9013,Sherwood Motel
232,Lata,PT,62.08,overcast clouds,40.1629,-8.3327,Terraços da Beira
234,Duki,PK,50.77,clear sky,30.1541,68.5728,ماسٹر رشید مرحوم
236,Muros,ES,63.09,light rain,42.7762,-9.0603,Apartment Av. Castelao
238,Beloha,MG,67.14,clear sky,-25.1667,45.05,
239,Gorontalo,ID,88.95,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
240,Manokwari,ID,83.82,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
241,Jacareacanga,BR,73.22,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
243,Katsuura,JP,57.22,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
244,Chuy,UY,57.9,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
246,Natal,BR,79.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
247,Ancud,CL,55.56,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
248,Trincomalee,LK,76.5,broken clouds,8.5711,81.2335,Welcombe Hotel
250,Along,IN,62.42,clear sky,28.1667,94.7667,Hotel West
251,Guhagar,IN,74.35,overcast clouds,17.4842,73.1929,Seawinds Hotel Guhagar
252,Chabahar,IR,73.92,broken clouds,25.2919,60.643,هتل گدروشیا
254,Antalaha,MG,70.54,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
257,San Juan,AR,77.13,clear sky,-31.5375,-68.5364,Hotel Provincial
258,Upata,VE,69.26,clear sky,8.0086,-62.3989,Posada Villa Nela
260,Kendari,ID,86.56,moderate rain,-3.945,122.4989,Hotel Wixel
261,Northam,GB,50.25,overcast clouds,51.0333,-4.2167,
262,Papara,BR,79.2,few clouds,-3.9839,-38.7273,CAMPOS MARANGUAPE
265,Pimenta Bueno,BR,71.78,light rain,-11.6725,-61.1936,Cristalina Palace Hotel
266,Concordia,AR,56.79,clear sky,-31.393,-58.0209,Palmar Hotel Casino
269,Shenjiamen,CN,61.36,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
270,Lorengau,PG,82.74,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
271,Araouane,ML,67.05,broken clouds,18.9048,-3.5265,
274,Basoko,CD,68.65,light rain,1.2391,23.616,
275,Merauke,ID,86.67,overcast clouds,-8.4667,140.3333,
277,Faya,SA,51.91,clear sky,18.3851,42.4509,شيلة نسايم
278,Luebo,CD,68.09,overcast clouds,-5.35,21.4167,
279,Jambi,ID,77.94,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
281,Wawa,NG,73.06,clear sky,9.9022,4.4192,
